id,xcoord,ycoord,area,perimeter,MeanCI,MeanGNDVI,MeanNDRE,MeanNDVI,MeanNLI,MeanRCI,MeanTCARI,Predicted_Yield
1,327615,9750525,1.010498047,3.734692953,1.57673197,0.60005696,0.105076347,0.403384409,-0.835512656,0.237863199,0.012671536,5.00709235799875
2,327620,9750524,3.080810547,6.639359636,2.535199583,0.660473752,0.152777112,0.499947427,-0.790795816,0.369107537,0.005148617,6.81271186324102
3,327617,9750524,4.382324219,8.051769277,2.953250293,0.693162,0.174372845,0.543469566,-0.736421088,0.429969133,0.003020295,7.6301762526445
4,327627,9750523,1.334472656,4.865713114,3.14248913,0.692063465,0.155944742,0.578440622,-0.73114137,0.373517913,0.003815658,6.93261632417347
5,327624,9750523,3.183837891,7.286606374,2.194109023,0.644331874,0.141133921,0.473480036,-0.805311708,0.336503216,0.007411086,6.37198155686414
6,327627,9750523,1.637939453,4.804460131,2.013731604,0.654191258,0.165405421,0.466385966,-0.814952037,0.403773944,0.00872285,7.29073189182183
7,327629,9750522,2.532226563,6.098290834,1.848235018,0.638457441,0.150251425,0.443135195,-0.827344551,0.358436266,0.009073268,6.71710690362796
8,327632,9750521,3.696044922,7.6077118,2.918348894,0.700525339,0.190026898,0.54796812,-0.73668536,0.478845313,0.003983335,8.22272992411908
9,327635,9750520,1.358398438,4.33610507,1.88327102,0.658766096,0.184180809,0.452386139,-0.824625382,0.465998269,0.008367584,8.0014376172183
10,327638,9750520,2.962890625,7.008299158,2.401072799,0.686452692,0.192051349,0.503083566,-0.780031368,0.486016077,0.006258978,8.29936157170392
11,327616,9750520,1.900878906,5.107984221,2.015042331,0.626282676,0.118882789,0.456224686,-0.818941348,0.274429907,0.00912038,5.52970831548279
12,327647,9750519,1.630126953,5.101508739,2.461481512,0.657762187,0.149496527,0.506561887,-0.822500796,0.360616269,0.006096428,6.68853171089744
13,327618,9750519,2.657226563,6.099457791,2.331449813,0.651739154,0.152682736,0.481651628,-0.778700658,0.366388295,0.006415181,6.80913944367025
14,327650,9750519,3.928466797,8.104084511,3.380102201,0.670582977,0.138216128,0.57695523,-0.777116556,0.327594287,0.001608103,6.26153418871272
15,327621,9750518,3.921142578,7.549008118,3.018458716,0.6395623,0.125947107,0.522528354,-0.737201443,0.294603055,0.002321551,5.79711430723227
16,327625,9750518,3.841796875,7.55955666,2.486206104,0.653685297,0.151134923,0.490960741,-0.765719056,0.362335315,0.005532609,6.75054999875741
17,327653,9750518,2.812744141,6.822217834,2.389285847,0.658858286,0.147956567,0.501471993,-0.804867872,0.353855312,0.006208905,6.63023952599657
18,327627,9750518,2.335205078,5.839939664,1.732409586,0.62043191,0.148785903,0.43072728,-0.825456348,0.358551561,0.010821771,6.66163242416077
19,327656,9750518,3.921630859,7.839632771,3.199176646,0.674155412,0.138265458,0.562516545,-0.742303879,0.326042192,0.00192722,6.26340147973402
20,327659,9750517,2.254394531,5.562321384,2.339405322,0.643137546,0.128134119,0.492346074,-0.807571396,0.298605221,0.007353592,5.8798993846917
21,327630,9750517,2.191650391,5.557486983,1.632465327,0.593400553,0.130271604,0.416201725,-0.836872744,0.305106171,0.011888434,5.96080971407872
22,327662,9750517,3.381591797,7.224841065,2.316587038,0.664470548,0.156138978,0.493833206,-0.802010394,0.377291107,0.007147609,6.93996874944842
23,327633,9750517,2.423339844,5.870866299,1.745850113,0.628652973,0.165401896,0.421829585,-0.823759628,0.407396726,0.009240886,7.29059845981595
24,327665,9750516,2.599121094,6.12958809,2.26906604,0.626977551,0.11104457,0.496990208,-0.823627229,0.25277484,0.008800425,5.23300780946867
